population_size;mutation_chance;crossover;selection;fitness;iterations;result
20;0,1;OX;roulette;6902;1148;[63, 96, 64, 19, 16, 74, 70, 29, 61, 65, 12, 92, 95, 90, 78, 87, 46, 24, 18, 28, 86, 89, 58, 5, 31, 8, 83, 99, 41, 30, 62, 85, 100, 13, 10, 76, 50, 21, 97, 43, 67, 2, 55, 14, 73, 35, 40, 7, 3, 51, 15, 68, 42, 54, 44, 57, 39, 38, 88, 25, 59, 37, 79, 34, 94, 84, 47, 60, 1, 36, 80, 22, 56, 66, 6, 45, 27, 77, 75, 32, 9, 17, 53, 11, 4, 23, 81, 20, 48, 82, 26, 33, 49, 69, 91, 72, 93, 52, 71, 98]
40;0,1;OX;roulette;6713;960;[78, 59, 26, 47, 15, 41, 95, 60, 80, 54, 33, 63, 49, 31, 39, 65, 87, 89, 57, 16, 82, 43, 21, 24, 5, 7, 38, 70, 71, 88, 77, 90, 2, 12, 37, 13, 86, 45, 19, 50, 81, 28, 75, 40, 84, 42, 58, 61, 68, 83, 30, 53, 100, 1, 99, 6, 25, 46, 14, 74, 27, 76, 36, 3, 94, 97, 79, 17, 29, 96, 34, 66, 51, 73, 98, 44, 11, 93, 72, 10, 56, 69, 85, 9, 8, 64, 23, 20, 32, 18, 55, 92, 4, 35, 22, 62, 52, 67, 48, 91]
80;0,1;OX;roulette;6768;1186;[42, 48, 86, 92, 11, 51, 12, 59, 95, 81, 49, 77, 43, 55, 15, 65, 89, 6, 74, 2, 57, 4, 16, 18, 14, 39, 88, 30, 97, 64, 58, 8, 53, 56, 82, 38, 33, 27, 79, 63, 93, 31, 46, 21, 17, 24, 3, 36, 80, 32, 71, 73, 50, 22, 19, 37, 45, 76, 7, 9, 47, 99, 66, 75, 44, 41, 13, 10, 23, 78, 1, 83, 96, 90, 35, 94, 20, 61, 98, 68, 28, 25, 26, 54, 67, 40, 29, 70, 62, 52, 87, 60, 34, 85, 69, 84, 100, 91, 5, 72]
100;0,1;OX;roulette;6698;1086;[65, 43, 45, 2, 62, 59, 94, 15, 41, 60, 33, 97, 26, 78, 90, 81, 11, 24, 79, 7, 64, 46, 30, 75, 13, 16, 58, 93, 99, 37, 12, 4, 47, 19, 82, 42, 84, 77, 95, 100, 10, 73, 89, 56, 72, 76, 23, 3, 88, 17, 20, 57, 22, 27, 74, 36, 70, 31, 52, 29, 53, 25, 61, 54, 51, 38, 86, 92, 39, 71, 91, 50, 87, 44, 40, 35, 68, 98, 28, 67, 8, 6, 5, 21, 63, 14, 48, 49, 69, 83, 32, 80, 18, 1, 55, 96, 66, 85, 9, 34]
20;0,1;OX;tournament;6893;551;[88, 96, 41, 31, 90, 7, 46, 4, 100, 23, 42, 68, 1, 38, 70, 79, 51, 33, 86, 16, 18, 56, 40, 95, 62, 80, 63, 14, 3, 54, 94, 28, 64, 24, 67, 71, 49, 13, 75, 21, 77, 11, 74, 43, 44, 48, 58, 36, 73, 27, 55, 78, 47, 99, 81, 37, 53, 15, 76, 12, 39, 65, 20, 98, 85, 57, 93, 89, 87, 83, 8, 32, 2, 50, 19, 35, 82, 60, 61, 30, 26, 17, 91, 10, 59, 66, 25, 92, 97, 84, 9, 6, 22, 69, 52, 5, 29, 45, 72, 34]
40;0,1;OX;tournament;6691;1663;[81, 78, 42, 11, 2, 50, 60, 73, 97, 15, 65, 95, 33, 20, 34, 43, 39, 16, 41, 31, 7, 3, 58, 80, 53, 44, 87, 70, 86, 51, 90, 94, 22, 54, 45, 37, 8, 40, 56, 67, 82, 69, 74, 28, 12, 46, 92, 17, 10, 25, 26, 21, 30, 62, 68, 76, 89, 59, 14, 6, 4, 23, 55, 71, 77, 79, 32, 29, 27, 48, 5, 64, 96, 13, 83, 61, 49, 66, 36, 91, 84, 19, 38, 88, 47, 85, 52, 63, 99, 35, 24, 93, 1, 75, 100, 9, 57, 18, 72, 98]
80;0,1;OX;tournament;6682;2083;[15, 89, 96, 11, 16, 60, 77, 2, 97, 82, 53, 7, 80, 37, 30, 19, 23, 12, 83, 90, 94, 54, 84, 47, 9, 27, 46, 42, 88, 74, 48, 14, 36, 51, 70, 69, 31, 75, 40, 41, 32, 38, 68, 79, 13, 86, 65, 78, 99, 45, 93, 39, 21, 17, 55, 61, 10, 95, 43, 58, 28, 35, 44, 72, 59, 71, 81, 1, 92, 52, 50, 24, 49, 62, 29, 87, 6, 56, 4, 67, 22, 25, 20, 26, 33, 73, 64, 76, 66, 3, 85, 8, 18, 100, 57, 63, 5, 34, 91, 98]
100;0,1;OX;tournament;6710;1499;[60, 43, 81, 2, 47, 80, 88, 15, 97, 37, 33, 44, 75, 89, 10, 29, 63, 45, 17, 38, 70, 21, 9, 94, 30, 65, 41, 22, 87, 12, 20, 67, 32, 24, 92, 61, 48, 40, 58, 34, 64, 35, 1, 14, 71, 74, 59, 83, 19, 72, 95, 76, 7, 90, 53, 42, 51, 91, 25, 3, 46, 86, 4, 39, 54, 23, 18, 57, 56, 5, 16, 28, 69, 49, 84, 8, 36, 62, 11, 13, 96, 50, 79, 73, 99, 52, 31, 6, 26, 55, 66, 68, 85, 78, 27, 77, 82, 100, 93, 98]
20;0,1;PMX;roulette;6834;1805;[37, 43, 86, 46, 89, 88, 58, 80, 79, 7, 83, 90, 12, 51, 33, 41, 29, 95, 50, 68, 19, 78, 60, 45, 8, 15, 28, 13, 55, 34, 53, 2, 14, 21, 4, 16, 100, 24, 17, 71, 25, 42, 38, 61, 54, 93, 27, 57, 96, 3, 97, 39, 82, 92, 47, 64, 31, 77, 94, 32, 44, 11, 69, 73, 22, 56, 48, 76, 81, 66, 40, 70, 49, 65, 63, 85, 5, 84, 20, 62, 6, 10, 35, 59, 52, 87, 30, 23, 75, 74, 99, 67, 1, 91, 98, 36, 9, 26, 72, 18]
40;0,1;PMX;roulette;6666;1220;[43, 15, 42, 89, 24, 25, 2, 94, 80, 4, 62, 81, 44, 33, 56, 38, 13, 41, 75, 82, 54, 97, 46, 16, 100, 39, 40, 21, 60, 63, 87, 50, 90, 86, 7, 69, 68, 58, 48, 19, 84, 11, 96, 77, 65, 10, 79, 83, 6, 61, 47, 66, 55, 18, 45, 76, 14, 34, 35, 57, 3, 88, 95, 28, 27, 12, 37, 9, 71, 53, 51, 30, 17, 31, 29, 85, 22, 73, 59, 8, 32, 74, 36, 70, 98, 92, 26, 99, 23, 49, 52, 1, 67, 91, 72, 78, 20, 64, 93, 5]
80;0,1;PMX;roulette;6687;1368;[81, 33, 62, 15, 16, 75, 37, 59, 68, 17, 60, 74, 51, 78, 19, 46, 48, 12, 11, 79, 97, 42, 31, 80, 82, 95, 34, 71, 47, 1, 41, 30, 65, 56, 26, 39, 49, 21, 70, 64, 85, 92, 67, 44, 23, 84, 69, 77, 50, 29, 89, 90, 99, 13, 10, 4, 76, 61, 9, 86, 25, 53, 94, 28, 88, 38, 40, 55, 57, 54, 8, 6, 3, 7, 32, 96, 83, 66, 2, 93, 87, 27, 100, 14, 72, 43, 35, 36, 20, 98, 24, 63, 58, 52, 73, 22, 45, 18, 5, 91]
100;0,1;PMX;roulette;6711;1187;[81, 60, 97, 37, 4, 89, 44, 65, 43, 77, 47, 41, 42, 31, 78, 46, 80, 94, 68, 51, 61, 15, 30, 17, 88, 40, 75, 10, 24, 76, 92, 100, 7, 90, 12, 82, 72, 48, 36, 85, 62, 34, 54, 39, 58, 45, 6, 93, 53, 9, 26, 2, 23, 29, 98, 16, 70, 21, 57, 50, 8, 32, 74, 27, 33, 14, 19, 71, 84, 13, 38, 95, 35, 87, 25, 63, 79, 56, 28, 67, 73, 20, 55, 64, 69, 99, 11, 49, 96, 52, 86, 3, 1, 59, 66, 22, 18, 5, 83, 91]
20;0,1;PMX;tournament;6715;2324;[37, 24, 16, 43, 81, 6, 34, 20, 13, 7, 60, 46, 59, 15, 51, 26, 32, 80, 19, 65, 54, 47, 97, 71, 30, 74, 14, 95, 41, 63, 4, 53, 22, 89, 39, 57, 44, 29, 50, 79, 68, 56, 69, 66, 94, 87, 28, 12, 2, 38, 88, 17, 76, 35, 83, 40, 77, 82, 70, 21, 86, 90, 23, 8, 33, 96, 27, 10, 73, 92, 78, 64, 18, 67, 36, 58, 100, 62, 98, 25, 99, 49, 1, 61, 45, 55, 93, 9, 5, 11, 3, 85, 84, 72, 91, 31, 48, 75, 42, 52]
40;0,1;PMX;tournament;6763;1082;[65, 50, 20, 62, 43, 54, 48, 95, 39, 2, 51, 63, 56, 12, 17, 90, 88, 38, 97, 70, 41, 4, 19, 46, 55, 7, 59, 68, 84, 80, 96, 57, 15, 74, 33, 23, 78, 29, 14, 35, 61, 93, 53, 37, 13, 49, 73, 1, 89, 42, 100, 99, 40, 64, 16, 8, 82, 30, 31, 3, 85, 22, 77, 5, 76, 67, 21, 25, 47, 44, 60, 71, 81, 18, 87, 24, 6, 26, 27, 58, 98, 34, 79, 10, 86, 83, 92, 32, 75, 28, 91, 69, 94, 9, 66, 11, 52, 45, 72, 36]
80;0,1;PMX;tournament;6780;677;[60, 80, 89, 20, 1, 42, 78, 88, 3, 50, 37, 46, 4, 41, 12, 39, 97, 26, 47, 22, 94, 30, 75, 76, 54, 63, 95, 24, 71, 2, 62, 6, 81, 61, 11, 70, 87, 25, 51, 69, 7, 53, 18, 10, 16, 73, 40, 55, 99, 77, 82, 21, 31, 79, 32, 34, 67, 65, 90, 86, 57, 49, 59, 58, 45, 19, 36, 15, 56, 8, 33, 44, 43, 84, 74, 9, 23, 17, 14, 27, 92, 48, 83, 93, 85, 68, 35, 98, 13, 38, 28, 100, 29, 5, 64, 52, 66, 72, 91, 96]
100;0,1;PMX;tournament;6769;889;[86, 16, 37, 17, 2, 22, 47, 89, 92, 25, 12, 5, 84, 95, 100, 64, 79, 88, 6, 54, 51, 81, 18, 43, 74, 4, 53, 41, 60, 44, 80, 97, 34, 10, 23, 69, 39, 21, 7, 30, 40, 68, 78, 99, 65, 90, 20, 48, 59, 67, 19, 29, 8, 33, 1, 73, 50, 9, 57, 75, 14, 49, 77, 82, 94, 55, 63, 66, 70, 15, 3, 71, 76, 24, 96, 83, 42, 46, 27, 58, 28, 62, 45, 93, 85, 26, 32, 11, 38, 35, 13, 91, 56, 52, 87, 61, 31, 72, 36, 98]
20;0,2;OX;roulette;6811;838;[37, 65, 31, 89, 12, 92, 43, 85, 47, 58, 42, 17, 21, 26, 7, 30, 38, 54, 4, 59, 15, 41, 39, 63, 82, 5, 77, 13, 73, 46, 60, 11, 8, 84, 94, 34, 76, 51, 28, 57, 19, 14, 56, 16, 95, 1, 22, 61, 29, 83, 100, 69, 53, 79, 33, 93, 66, 45, 36, 3, 74, 87, 27, 98, 62, 80, 2, 97, 24, 9, 88, 10, 78, 70, 23, 6, 44, 67, 18, 90, 64, 86, 55, 49, 68, 50, 40, 32, 25, 75, 52, 35, 71, 99, 20, 48, 96, 72, 81, 91]
40;0,2;OX;roulette;6704;997;[15, 43, 89, 37, 69, 10, 95, 47, 97, 60, 81, 76, 80, 7, 61, 20, 31, 99, 9, 24, 6, 86, 82, 40, 34, 3, 50, 42, 79, 94, 17, 46, 74, 51, 68, 25, 41, 88, 38, 66, 30, 73, 70, 4, 19, 49, 39, 71, 59, 12, 84, 29, 77, 57, 65, 90, 85, 62, 67, 22, 23, 18, 75, 87, 56, 44, 5, 16, 11, 33, 55, 8, 92, 83, 27, 45, 58, 96, 35, 54, 53, 21, 2, 28, 98, 26, 63, 93, 14, 64, 36, 32, 13, 52, 1, 78, 100, 48, 91, 72]
80;0,2;OX;roulette;6709;876;[65, 97, 15, 42, 43, 37, 59, 78, 86, 82, 12, 54, 95, 4, 77, 71, 17, 62, 25, 10, 21, 34, 48, 24, 74, 60, 14, 27, 52, 32, 2, 50, 29, 64, 39, 22, 13, 76, 99, 61, 89, 85, 30, 63, 46, 19, 87, 41, 8, 51, 55, 36, 45, 23, 6, 81, 92, 49, 11, 93, 80, 84, 3, 73, 66, 33, 16, 56, 88, 20, 68, 67, 91, 96, 94, 28, 57, 75, 58, 100, 90, 79, 47, 69, 40, 70, 26, 83, 98, 53, 7, 38, 35, 9, 31, 5, 44, 18, 1, 72]
100;0,2;OX;roulette;6769;890;[81, 43, 88, 26, 50, 60, 12, 87, 70, 80, 75, 16, 58, 15, 48, 57, 14, 61, 21, 30, 77, 55, 24, 84, 49, 42, 46, 13, 54, 47, 79, 64, 18, 4, 86, 73, 27, 19, 94, 65, 37, 90, 74, 97, 89, 22, 82, 29, 44, 68, 85, 34, 17, 52, 40, 71, 10, 23, 62, 78, 2, 53, 7, 41, 59, 66, 93, 92, 99, 28, 39, 38, 69, 35, 9, 51, 33, 36, 25, 45, 95, 63, 32, 8, 1, 91, 67, 56, 5, 83, 11, 3, 76, 98, 72, 31, 6, 20, 96, 100]
20;0,2;OX;tournament;6900;776;[33, 79, 65, 37, 6, 24, 18, 73, 41, 13, 49, 16, 30, 43, 78, 12, 26, 14, 94, 47, 2, 77, 62, 88, 17, 31, 38, 74, 97, 19, 82, 3, 48, 85, 10, 68, 51, 81, 67, 87, 54, 25, 15, 71, 76, 80, 7, 39, 93, 21, 23, 44, 45, 99, 9, 32, 22, 27, 29, 90, 46, 69, 89, 72, 11, 20, 4, 53, 1, 34, 56, 70, 75, 35, 92, 55, 95, 50, 28, 57, 96, 8, 40, 58, 91, 42, 86, 83, 64, 61, 36, 60, 66, 84, 5, 63, 52, 59, 100, 98]
40;0,2;OX;tournament;6673;1266;[42, 81, 26, 84, 64, 24, 73, 43, 77, 86, 74, 63, 27, 17, 40, 95, 62, 36, 23, 90, 97, 60, 3, 41, 5, 2, 47, 68, 59, 78, 10, 96, 8, 46, 89, 57, 21, 70, 34, 65, 32, 38, 85, 7, 76, 92, 15, 20, 33, 16, 14, 80, 25, 29, 56, 87, 61, 22, 82, 39, 99, 28, 12, 48, 11, 58, 75, 79, 1, 45, 94, 49, 19, 50, 69, 54, 93, 44, 51, 6, 30, 88, 71, 55, 52, 13, 37, 67, 35, 83, 18, 4, 53, 9, 100, 72, 31, 91, 98, 66]
80;0,2;OX;tournament;6698;667;[15, 59, 37, 47, 41, 88, 60, 20, 30, 5, 68, 95, 29, 43, 61, 80, 4, 13, 17, 26, 54, 48, 86, 33, 2, 27, 46, 58, 63, 9, 25, 62, 74, 51, 83, 89, 90, 99, 38, 19, 6, 53, 75, 82, 94, 10, 7, 3, 45, 16, 40, 24, 56, 76, 21, 73, 18, 64, 84, 100, 8, 14, 28, 87, 93, 71, 57, 97, 77, 79, 22, 34, 12, 23, 81, 11, 49, 50, 1, 98, 44, 66, 55, 42, 39, 67, 31, 85, 92, 32, 91, 96, 36, 69, 65, 78, 70, 52, 72, 35]
100;0,2;OX;tournament;6641;1102;[15, 50, 48, 55, 2, 95, 43, 4, 3, 64, 66, 59, 76, 56, 16, 38, 68, 88, 41, 71, 89, 60, 80, 82, 78, 31, 57, 29, 100, 53, 61, 7, 97, 8, 22, 23, 33, 51, 90, 86, 62, 69, 54, 79, 17, 99, 40, 81, 21, 74, 75, 12, 45, 46, 37, 39, 47, 6, 19, 10, 44, 84, 77, 11, 58, 32, 9, 24, 83, 13, 94, 36, 14, 18, 28, 63, 70, 85, 25, 49, 93, 34, 65, 5, 30, 42, 67, 27, 92, 20, 96, 35, 73, 26, 87, 52, 1, 98, 72, 91]
20;0,2;PMX;roulette;6760;1119;[75, 64, 88, 43, 12, 42, 94, 47, 74, 98, 16, 54, 15, 81, 38, 48, 59, 89, 68, 60, 71, 24, 11, 4, 80, 8, 45, 73, 22, 95, 65, 77, 37, 2, 13, 20, 83, 76, 51, 33, 79, 63, 6, 90, 10, 25, 46, 55, 36, 96, 97, 49, 62, 57, 3, 21, 31, 78, 27, 35, 29, 92, 56, 26, 14, 30, 18, 85, 44, 39, 41, 58, 5, 70, 7, 86, 84, 99, 19, 93, 87, 34, 61, 50, 66, 69, 100, 53, 82, 23, 32, 9, 91, 17, 40, 1, 28, 72, 67, 52]
40;0,2;PMX;roulette;6751;1378;[24, 62, 15, 60, 81, 37, 13, 27, 96, 66, 73, 61, 84, 51, 77, 41, 44, 65, 98, 17, 89, 26, 42, 22, 23, 74, 82, 34, 16, 76, 5, 39, 12, 95, 43, 1, 55, 94, 30, 38, 69, 83, 90, 50, 57, 92, 80, 11, 47, 58, 75, 2, 59, 70, 79, 91, 88, 28, 3, 85, 78, 54, 31, 21, 33, 19, 7, 56, 4, 6, 25, 10, 18, 87, 71, 64, 97, 36, 93, 99, 35, 63, 46, 68, 29, 40, 53, 45, 9, 100, 48, 14, 49, 86, 32, 52, 67, 20, 72, 8]
80;0,2;PMX;roulette;6735;927;[37, 79, 59, 1, 65, 95, 2, 26, 24, 43, 62, 74, 83, 12, 77, 82, 75, 41, 31, 6, 16, 47, 50, 73, 54, 40, 61, 8, 21, 90, 46, 70, 78, 53, 27, 76, 88, 94, 15, 92, 66, 7, 34, 69, 36, 32, 63, 5, 33, 19, 49, 51, 71, 10, 23, 38, 100, 68, 98, 58, 4, 80, 57, 55, 48, 11, 84, 87, 42, 28, 67, 3, 14, 45, 39, 13, 85, 9, 89, 35, 44, 60, 25, 52, 99, 86, 97, 22, 30, 64, 29, 20, 96, 81, 56, 17, 93, 18, 72, 91]
100;0,2;PMX;roulette;6596;1069;[15, 78, 24, 41, 74, 60, 62, 65, 59, 34, 45, 95, 39, 47, 48, 12, 80, 58, 42, 46, 77, 82, 17, 75, 81, 11, 38, 21, 73, 37, 89, 33, 63, 61, 23, 25, 71, 79, 94, 64, 2, 4, 70, 53, 20, 68, 14, 54, 92, 100, 32, 31, 51, 86, 36, 1, 9, 40, 16, 7, 76, 56, 44, 90, 43, 55, 10, 57, 29, 13, 88, 85, 3, 97, 27, 87, 52, 67, 6, 50, 26, 83, 19, 49, 99, 84, 30, 18, 8, 98, 69, 28, 96, 35, 22, 91, 5, 93, 72, 66]
20;0,2;PMX;tournament;6720;1654;[37, 81, 15, 30, 23, 12, 41, 89, 95, 78, 38, 65, 62, 88, 2, 66, 32, 16, 94, 7, 43, 19, 47, 85, 74, 21, 90, 25, 26, 10, 49, 1, 8, 3, 50, 79, 97, 51, 77, 96, 54, 82, 42, 27, 34, 64, 99, 73, 11, 58, 9, 70, 59, 48, 36, 60, 68, 14, 4, 53, 57, 92, 75, 44, 100, 39, 56, 69, 46, 80, 18, 28, 76, 83, 71, 17, 61, 24, 40, 33, 55, 45, 93, 31, 13, 29, 67, 5, 84, 86, 63, 6, 52, 20, 87, 91, 72, 22, 98, 35]
40;0,2;PMX;tournament;6756;1009;[81, 43, 4, 74, 63, 12, 62, 17, 21, 26, 7, 88, 11, 20, 80, 41, 60, 50, 29, 1, 3, 22, 75, 24, 92, 2, 25, 78, 27, 42, 95, 94, 100, 19, 55, 65, 8, 58, 77, 47, 13, 54, 71, 33, 85, 45, 39, 37, 79, 82, 10, 89, 72, 32, 16, 46, 76, 49, 28, 31, 38, 90, 5, 73, 66, 56, 9, 84, 61, 51, 69, 30, 53, 40, 68, 64, 35, 34, 18, 15, 59, 83, 86, 14, 99, 57, 52, 87, 6, 96, 23, 70, 48, 98, 44, 67, 36, 93, 97, 91]
80;0,2;PMX;tournament;6580;2102;[81, 50, 15, 16, 89, 44, 24, 43, 70, 12, 20, 2, 75, 94, 33, 7, 3, 17, 59, 10, 68, 78, 97, 63, 65, 40, 25, 38, 19, 51, 41, 34, 88, 73, 1, 60, 14, 21, 54, 39, 56, 74, 100, 86, 27, 62, 71, 84, 42, 47, 58, 48, 57, 8, 95, 85, 61, 77, 82, 76, 99, 31, 90, 23, 46, 92, 32, 55, 93, 35, 49, 4, 22, 45, 11, 5, 52, 29, 87, 13, 26, 30, 28, 96, 80, 83, 53, 18, 9, 37, 66, 67, 79, 6, 69, 64, 36, 72, 91, 98]
100;0,2;PMX;tournament;6668;1344;[43, 62, 95, 63, 97, 78, 48, 39, 33, 75, 82, 2, 56, 30, 12, 73, 14, 41, 65, 61, 26, 7, 16, 68, 42, 46, 22, 47, 76, 11, 32, 29, 90, 31, 57, 79, 81, 27, 21, 58, 60, 80, 40, 44, 49, 53, 74, 28, 59, 77, 88, 86, 54, 70, 96, 85, 15, 25, 18, 50, 10, 19, 83, 9, 51, 84, 36, 8, 99, 13, 4, 5, 93, 94, 6, 20, 24, 37, 89, 38, 45, 69, 3, 1, 92, 55, 64, 66, 34, 23, 87, 71, 17, 52, 100, 35, 72, 67, 91, 98]
20;0,4;OX;roulette;6748;935;[81, 15, 43, 65, 21, 90, 50, 94, 32, 10, 75, 26, 55, 95, 8, 63, 64, 54, 27, 98, 86, 96, 61, 74, 82, 53, 68, 4, 57, 52, 51, 67, 97, 92, 28, 6, 78, 22, 41, 40, 84, 77, 23, 89, 79, 12, 99, 62, 46, 9, 39, 87, 85, 30, 73, 49, 60, 70, 29, 47, 59, 45, 3, 69, 36, 7, 33, 19, 16, 58, 25, 2, 80, 88, 42, 38, 17, 37, 56, 14, 18, 44, 11, 20, 35, 93, 76, 83, 31, 71, 1, 48, 13, 34, 5, 100, 24, 91, 72, 66]
40;0,4;OX;roulette;6612;1354;[15, 43, 42, 1, 51, 90, 64, 94, 50, 95, 13, 78, 28, 96, 97, 41, 59, 26, 82, 89, 19, 39, 60, 84, 80, 21, 37, 69, 9, 7, 30, 24, 38, 46, 3, 4, 12, 27, 40, 65, 79, 16, 10, 20, 68, 18, 73, 71, 77, 57, 36, 70, 88, 23, 22, 49, 25, 74, 76, 56, 14, 86, 58, 55, 44, 54, 92, 34, 62, 45, 87, 33, 83, 63, 53, 85, 11, 75, 93, 47, 2, 99, 35, 72, 48, 31, 6, 81, 32, 52, 17, 29, 67, 5, 61, 100, 66, 8, 91, 98]
80;0,4;OX;roulette;6710;532;[88, 15, 62, 74, 96, 11, 68, 65, 28, 26, 17, 16, 33, 10, 89, 79, 41, 19, 53, 51, 4, 75, 77, 59, 70, 38, 99, 1, 100, 95, 13, 44, 80, 7, 29, 14, 76, 34, 21, 50, 22, 58, 94, 83, 49, 24, 43, 78, 12, 90, 85, 37, 40, 91, 32, 54, 60, 64, 39, 82, 71, 47, 55, 25, 35, 3, 92, 87, 57, 93, 45, 27, 2, 23, 42, 69, 61, 46, 30, 18, 63, 81, 73, 31, 86, 56, 48, 20, 97, 36, 84, 9, 52, 6, 67, 5, 8, 72, 66, 98]
100;0,4;OX;roulette;6595;859;[42, 81, 43, 15, 73, 65, 41, 50, 80, 94, 30, 62, 97, 78, 86, 51, 11, 16, 79, 89, 44, 59, 12, 1, 46, 7, 90, 20, 75, 74, 32, 54, 22, 60, 17, 61, 48, 95, 39, 36, 58, 6, 47, 57, 27, 18, 33, 96, 83, 10, 63, 66, 40, 55, 69, 38, 67, 37, 76, 29, 85, 19, 99, 35, 84, 77, 31, 56, 28, 2, 14, 68, 5, 92, 21, 100, 24, 49, 64, 26, 87, 3, 88, 25, 70, 23, 71, 52, 82, 72, 91, 13, 4, 9, 53, 34, 8, 45, 93, 98]
20;0,4;OX;tournament;6674;1141;[81, 7, 96, 50, 21, 40, 30, 78, 89, 60, 95, 97, 43, 19, 29, 12, 17, 94, 33, 23, 26, 2, 25, 32, 65, 37, 6, 41, 59, 49, 62, 24, 22, 77, 73, 16, 66, 14, 83, 61, 15, 39, 71, 57, 84, 4, 3, 64, 36, 46, 76, 69, 54, 100, 9, 51, 10, 79, 75, 8, 56, 87, 85, 47, 90, 34, 11, 58, 48, 13, 86, 99, 52, 74, 27, 53, 44, 63, 55, 80, 38, 31, 1, 18, 28, 68, 92, 82, 70, 91, 93, 67, 20, 88, 5, 42, 72, 45, 98, 35]
40;0,4;OX;tournament;6605;1514;[81, 50, 37, 15, 80, 84, 39, 41, 59, 20, 64, 73, 97, 30, 11, 79, 75, 2, 88, 60, 74, 27, 3, 43, 68, 10, 24, 92, 23, 89, 62, 99, 26, 17, 4, 21, 13, 8, 12, 83, 22, 94, 38, 32, 61, 95, 63, 42, 46, 40, 55, 58, 7, 86, 14, 77, 6, 16, 66, 48, 49, 56, 31, 33, 36, 45, 76, 34, 65, 82, 78, 28, 53, 9, 18, 85, 67, 57, 29, 19, 44, 71, 47, 70, 54, 69, 87, 91, 35, 90, 25, 93, 51, 96, 5, 52, 100, 1, 72, 98]
80;0,4;OX;tournament;6700;1161;[15, 75, 37, 24, 33, 19, 47, 88, 2, 51, 62, 65, 26, 55, 58, 16, 87, 94, 77, 22, 78, 14, 41, 39, 53, 89, 96, 61, 86, 10, 82, 28, 68, 11, 32, 38, 56, 84, 57, 92, 7, 8, 9, 83, 97, 20, 70, 12, 42, 63, 46, 95, 17, 76, 54, 59, 79, 44, 50, 18, 80, 60, 69, 85, 27, 30, 40, 72, 5, 29, 99, 48, 49, 67, 23, 36, 90, 31, 4, 13, 25, 81, 21, 43, 73, 52, 1, 74, 98, 34, 64, 66, 3, 6, 35, 45, 93, 71, 100, 91]
